country_name,Power Index Score,Aircraft Carriers_per_capita,Attack Aircraft_per_capita,Attack Helicopters_per_capita,Fighter Aircraft_per_capita,Helicopter Carriers_per_capita,Helicopters_per_capita,Special Mission Aircraft_per_capita,Tanker Aircraft_per_capita,Tanks_per_capita,Total Aircraft_per_capita,Trainer Aircraft_per_capita,Transport Aircraft_per_capita,Equipment_Total,Personnel_Total,Military_Spending_per_Capita
Ecuador,0.624882976888151,0.0,5.5707309427069435e-06,0.0,5.5707309427069435e-06,0.0,5.5707309427069435e-06,4.369200739377995e-07,0.0,5.5707309427069435e-06,5.5707309427069435e-06,5.5707309427069435e-06,5.5707309427069435e-06,724.0,15925008.0,129.76526195952644
Sudan,0.8940470451021945,0.0,3.26944513889881e-06,6.935186658270203e-07,3.26944513889881e-06,0.0,3.26944513889881e-06,0.0,0.0,3.26944513889881e-06,3.26944513889881e-06,3.26944513889881e-06,3.26944513889881e-06,1190.0,17700004.0,6.7766681060811695
Croatia,0.40003011673736005,0.0,1.6144123165684245e-05,0.0,1.6144123165684245e-05,0.0,1.6144123165684245e-05,0.0,0.0,1.6144123165684245e-05,1.6144123165684245e-05,1.6144123165684245e-05,1.6144123165684245e-05,469.0,3442508.0,283.36550511708464
Oman,0.5099314790995016,0.0,3.2803749263517384e-05,0.0,3.2803749263517384e-05,0.0,3.2803749263517384e-05,1.0251171644849183e-06,0.0,3.2803749263517384e-05,3.2803749263517384e-05,3.2803749263517384e-05,3.2803749263517384e-05,900.0,14260037.0,2101.4901871940824
Belarus,0.5764826717489451,,1.9470708266483902e-05,3.05216507961099e-06,1.9470708266483902e-05,,1.9470708266483902e-05,0.0,0.0,1.9470708266483902e-05,1.9470708266483902e-05,1.9470708266483902e-05,1.9470708266483902e-05,1324.0,20800022.0,113.44581859698917
Uzbekistan,0.7979994675865423,0.0,5.257307698774012e-06,9.30981571657898e-07,5.257307698774012e-06,0.0,5.257307698774012e-06,0.0,0.0,5.257307698774012e-06,5.257307698774012e-06,5.257307698774012e-06,5.257307698774012e-06,1378.0,4800001.0,76.76490694537992
New Zealand,0.3264634955922567,0.0,9.300141129641642e-06,0.0,9.300141129641642e-06,0.0,9.300141129641642e-06,1.1625176412052052e-06,0.0,9.300141129641642e-06,9.300141129641642e-06,9.300141129641642e-06,9.300141129641642e-06,342.0,1192003.0,587.0714088086287
Bulgaria,0.6246043598620455,0.0,9.583260844565407e-06,5.897391288963327e-07,9.583260844565407e-06,0.0,9.583260844565407e-06,0.0,0.0,9.583260844565407e-06,9.583260844565407e-06,9.583260844565407e-06,9.583260844565407e-06,459.0,4000005.0,202.4621608631422
Jordan,0.551568463359893,0.0,2.4521155089593946e-05,3.937703737015086e-06,2.4521155089593946e-05,0.0,2.4521155089593946e-05,1.1634124677544573e-06,0.0,2.4521155089593946e-05,2.4521155089593946e-05,2.4521155089593946e-05,2.4521155089593946e-05,1975.0,16550015.0,223.73316687585717
Sri Lanka,0.8506465669031222,0.0,3.8666929844405636e-06,4.0941455129370677e-07,3.8666929844405636e-06,0.0,3.8666929844405636e-06,1.3647151709790227e-07,0.0,3.8666929844405636e-06,3.8666929844405636e-06,3.8666929844405636e-06,3.8666929844405636e-06,607.0,43600020.0,57.56368591189517
