Country,Active Personnel,Aircraft Carriers,Airports,Armored Vehicles,Attack Aircraft,Attack Helicopters,Available Manpower,Coastline (km),Corvettes,Defense Budget (USD),Destroyers,External Debt (USD),Fighter Aircraft,Fit for Service,Foreign Exchange Reserves (USD),Frigates,Helicopter Carriers,Helicopters,Labor Force,Land Area (sq km),Merchant Marine Fleet,Mine Warfare,Natural Gas Production,Oil Consumption (bbl/day),Oil Production (bbl/day),Ports,Proven Oil Reserves (bbl),Purchasing Power Parity (USD),Railway Coverage (km),Reserve Personnel,Roadway Coverage (km),Rocket Projectors,Self-Propelled Artillery,Shared Borders (km),Special Mission Aircraft,Submarines,Tanker Aircraft,Tanks,Total Aircraft,Total Naval Assets,Total Population,Towed Artillery,Trainer Aircraft,Transport Aircraft,Waterways (km)
Slovakia,1950004,,114,41,41,0,2837461510,,,2656000000,,127600000000,41,2353424423,11288000000,,,41,2823000,49035,0,,52556000,94000,7000,0,9000000,213053000000,3627,000,56926,41,35,1587,1,,0,41,41,,5563649,9,41,41,172
Cuba,4550004,0,123,31,31,4,5921661540,3735,1,4508784000,0,33066000000,31,4737328432,10442000000,1,0,31,5317000,110860,65,4,659434000,165000,34000,34,124000000,141400000000,8367,4000004,60000,31,60,29,0,0,0,31,31,19,10966038,130,31,31,240
Azerbaijan,12640012,0,32,154,154,16,5218617490,713,0,5000000000,0,16159500000,154,3908638367,13749000000,0,0,154,5473000,86600,312,4,34175000000,105000,618000,0,7000000000,215896000000,2944,30000028,24981,154,198,2468,0,4,0,154,154,38,10650239,650,154,154,0
Kazakhstan,11000005,0,132,198,198,12,9117003450,26,0,2048700000,0,91321500000,198,6928922342,35965000000,0,0,198,9587000,2724900,122,2,27011000000,288000,1955000,0,30000000000,705520000000,16636,13500007,96167,198,126,13364,0,0,0,198,198,26,20260006,194,198,198,43983
Ecuador,4125002,0,310,102,102,0,8422593460,2237,6,2376000000,0,44898000000,102,6738074368,4442000000,2,0,102,8893000,283560,154,0,309778000,225000,480000,6,8273000000,260213000000,965,11800006,43950,102,5,2237,8,2,0,102,102,30,18309984,106,102,102,1500
Sudan,9200002,0,41,165,165,35,26747657530,853,0,342000000,0,37846000000,165,17108407339,206763700,0,0,165,13590000,1861484,14,0,0,127000,68000,4,1250000000,136039000000,7251,8500002,31000,165,100,6819,0,0,0,165,165,6,50467278,287,165,165,4068
Croatia,1432503,0,40,67,67,0,2033557490,5835,0,1176000000,0,55000000000,67,1564594377,3176000000,0,0,67,1744000,56594,384,1,741456000,70000,11000,16,71000000,159305000000,2617,2010005,26958,67,25,2237,0,0,0,67,67,30,4150116,42,67,67,4714
Oman,4260011,0,36,128,128,0,1482757380,2092,5,8200000000,0,50897000000,128,1291559331,17455000000,0,0,128,2316000,309500,57,0,40754000000,211000,1056000,7,5375000000,185960000000,0,10000026,60230,128,24,1561,4,0,0,128,128,22,3901992,140,128,128,0
Belarus,6300007,,46,185,185,29,5035769530,,,1077900000,,44000000000,185,3724569392,8118000000,,,185,4956000,207600,4,,73929000,131000,30000,0,198000000,254407000000,5528,14500015,86600,185,357,3599,0,,0,185,185,,9501451,215,185,185,2500
Uzbekistan,4800001,0,74,192,192,34,18990708520,420,0,2803500000,0,19652500000,192,15959499437,34558000000,0,0,192,14270000,447400,0,0,47500000000,91000,64000,0,594000000,319174000000,4642,000,86496,192,147,6893,0,0,0,192,192,0,36520593,236,192,192,1100
New Zealand,867002,0,202,48,48,0,2219321430,15134,0,3030000000,0,209683100000,48,1775457344,15487000000,2,0,48,3068000,268838,117,0,3770000000,154000,12000,22,40993000,254770000000,4128,325001,94000,48,0,,6,0,0,48,48,8,5161211,31,48,48,0
Bulgaria,3700005,0,111,65,65,4,3187850470,354,3,1373232000,0,27138500000,65,2611324385,46334000000,4,0,65,3103000,110880,78,10,20837000,101000,4000,2,15000000,214061000000,4029,300000,19512,65,48,1806,0,0,0,65,65,36,6782659,24,65,65,470
Jordan,10050009,0,17,274,274,44,3463947310,26,0,2500000000,0,25646500000,274,2983464267,15715600000,0,0,274,3063000,89342,34,0,187262000,97000,20,1,1000000,106806000000,509,6500006,7203,274,358,1744,13,0,0,274,274,27,11174024,80,274,274,0
Sri Lanka,34600016,0,18,85,85,9,10551652480,1340,0,1265400000,0,46409500000,85,8551235389,3450700000,5,0,85,8707000,65610,96,0,0,121000,0,6,0,287132000000,1562,9000004,114093,85,0,,3,0,0,85,85,270,21982608,96,85,85,160
Kuwait,7200023,0,6,128,128,16,1726095550,499,0,6950000000,0,55000000000,128,1449920462,52619000000,0,0,128,2463000,17818,176,0,19285000000,372000,2910000,6,101500000000,219060000000,0,2400008,5749,128,74,475,0,0,3,128,128,123,3138355,0,128,128,0
Syria,17000007,0,39,207,207,14,15273871640,193,0,291850000,0,4309500000,207,13245310555,341962500,0,0,207,6315000,187437,24,4,3085000000,138000,75000,3,2500000000,55935900000,2052,5000002,69873,207,90,2363,1,0,0,207,207,27,23865423,641,207,207,900
Yemen,6670002,0,36,84,84,7,12213368380,1906,1,810375000,0,6343500000,84,9031464281,923361750,0,0,84,6883000,527968,30,1,189432000,60000,15000,10,3000000000,67003300000,0,000,71300,84,0,1601,0,0,0,84,84,33,32140443,15,84,84,0
Tunisia,8980007,0,14,154,154,0,6024424500,1148,0,1400000000,0,27084500000,154,5181004430,9240000000,0,0,154,4445000,163610,72,0,1323000000,108000,35000,16,425000000,153637000000,2173,000,20000,154,0,1495,4,0,0,154,154,58,12048847,85,154,154,0
Kenya,5000001,0,370,156,156,2,21551160370,536,0,1307383850,0,30514500000,156,14037377241,7342000000,0,0,156,25502000,580367,26,0,0,119000,0,4,0,314063000000,3819,000,161452,156,18,3457,2,0,0,156,156,23,58246378,53,156,156,0
Libya,3200004,0,66,143,143,4,3827857520,1770,1,3060000000,0,3322000000,143,3290485447,92427000000,0,0,143,2398000,1759540,96,1,11832000000,230000,1245000,14,48363000000,121951000000,2000,000,37000,143,15,4339,0,0,0,143,143,5,7361263,28,143,143,0
Lebanon,6000011,0,8,80,80,0,2092148390,225,0,768250325,0,36928000000,80,1775644331,26498095000,0,0,80,1771000,10400,51,0,0,174000,0,5,0,65818000000,401,3500007,21705,80,12,484,0,0,0,80,80,64,5364482,353,80,80,0
Nepal,9500003,,51,15,15,0,15249970490,,,409100000,,5838500000,15,11733140377,12456000000,,,15,8937000,147181,0,,0,62000,0,0,0,144310000000,59,000,27990,15,0,3159,0,,0,15,15,,31122387,14,15,15,0
Qatar,6655026,0,8,251,251,24,638022250,563,4,9432000000,0,187000000000,251,490001192,51539000000,0,0,251,2035000,11586,123,0,169595000000,297000,1815000,6,25244000,304973000000,0,1500006,7039,251,46,87,0,0,0,251,251,115,2552088,12,251,251,0
Ireland,776501,0,100,22,22,0,2407392460,1448,0,1500000000,0,3300000000000,22,1999182382,12905000000,0,0,22,2766000,70273,94,0,1447000000,156000,600,21,0,608463000000,1688,170000,99830,22,0,443,2,0,0,22,22,8,5233461,0,22,22,956
Lithuania,2300009,0,65,9,9,0,1708321650,90,0,2388900000,0,44000000000,9,1332490507,6168000000,0,0,9,1510000,65300,59,4,0,68000,4000,2,12000000,132712000000,1911,10400040,84166,9,21,1545,0,0,0,9,9,14,2628186,54,9,9,441
